text,type,category,difficulty,option1,option2,option3,option4,correctOption
"If a train travels 120 km in 2 hours, what is its average speed?",multiple-choice,numerical,Easy,"50 km/h","60 km/h","70 km/h","80 km/h",2
"What is 25% of 200?",multiple-choice,numerical,Easy,"25","50","75","100",2
"A shopkeeper sells an item at 20% profit. If the cost price is Rs. 500, what is the selling price?",multiple-choice,numerical,Medium,"Rs. 550","Rs. 600","Rs. 650","Rs. 700",2
"Find the next number in the series: 2, 6, 12, 20, 30, ?",multiple-choice,numerical,Medium,"40","42","44","48",2
"If the ratio of boys to girls in a class is 3:2 and there are 15 boys, how many girls are there?",multiple-choice,numerical,Medium,"8","10","12","15",2
"A sum of money doubles itself in 8 years at simple interest. In how many years will it triple?",multiple-choice,numerical,Hard,"12 years","16 years","20 years","24 years",2
"The average of 5 numbers is 27. If one number is excluded, the average becomes 25. What is the excluded number?",multiple-choice,numerical,Hard,"30","35","40","45",2
"A can complete a work in 12 days and B can complete it in 18 days. How many days will they take if they work together?",multiple-choice,numerical,Hard,"6.5 days","7.2 days","8.0 days","9.0 days",2
"What is the compound interest on Rs. 10,000 at 10% per annum for 2 years?",multiple-choice,numerical,Hard,"Rs. 2,000","Rs. 2,100","Rs. 2,200","Rs. 2,500",2
"A rectangular garden is 50m long and 30m wide. What is the cost of fencing it at Rs. 15 per meter?",multiple-choice,numerical,Medium,"Rs. 2,000","Rs. 2,400","Rs. 3,000","Rs. 3,600",2
